Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Flour Tortilla (Burrito),1 tortilla,,,320,9,0.5,0,0,600,50,3,0,8
Flour Tortilla (Taco),1 tortilla,,,80,2.5,0,0,0,160,13,<1,0,2
Crispy Corn Tortilla,1 tortilla,,,70,3,0,0,0,0,10,1,0,1
Cilantro-Lime Brown Rice,4 oz,113.398,,210,6,1,0,0,0,40,2,0,4
Cilantro-Lime White Rice,4 oz,113.398,,210,4,0,0,0,0,40,1,0,4
Black Beans,4 oz,113.398,,130,1.5,0,0,0,210,22,7,2,8
Pinto Beans,4 oz,113.398,,130,1.5,0,0,0,210,21,8,1,8
Fajita Vegetables,4 oz,113.398,,20,0,0,0,0,40,5,1,2,1
Barbacoa,4 oz,113.398,,170,7,2.5,0,65,530,0,0,0,24
Chicken,4 oz,113.398,,180,7,3.5,0,165,310,0,0,0,32
Carnitas,4 oz,113.398,,210,12,7,0,65,450,0,0,0,23
Steak,4 oz,113.398,,150,6,2.5,0,80,330,1,1,0,21
Sofritas,4 oz,113.398,,150,10,1.5,0,0,560,9,3,5,8
Fresh Tomato Salsa,4 oz,113.398,,25,0,0,0,0,550,4,1,4,0
Roasted Chili-Corn Salsa,4 oz,113.398,,80,1.5,0,0,0,330,16,3,4,3
Tomatillo-Green Chili Salsa,2 fl oz,,59.147,15,0,0,0,0,260,4,1,2,0
Tomatillo-Red Chili Salsa,2 fl oz,,59.147,30,0,0,0,0,500,4,1,0,0
Cheese,1 oz,28.3495,,110,8,5,0,30,190,1,0,0,6
Sour Cream,2 oz,56.699,,110,9,7,0,40,30,2,0,2,2
Guacamole (Topping/Side),4 oz,113.398,,230,22,3.5,0,0,370,8,6,1,2
Guacamole (Large),8 oz,226.796,,460,44,7,0,0,740,16,12,2,4
Queso Blanco (Entree),2 oz,56.699,,120,9,6,0,30,250,4,0,1,5
Queso Blanco (Side),4 oz,113.398,,240,18,12,1,60,490,7,0,2,10
Queso Blanco (Large),8 oz,226.796,,480,37,23,0,60,980,14,1,5,20
Supergreens Salad Mix,3 oz,85.0485,,15,0,0,0,0,5,3,2,1,2
Romaine Lettuce (Tacos),1 oz,28.3495,,5,0,0,0,0,0,1,1,0,0
Chips (Regular),4 oz,113.398,,540,25,3.5,0,0,390,73,7,1,7
Chips (Large),6 oz,170.097,,810,38,5,0,0,590,110,11,2,11
"Flour Tortilla (Kids, Taco)",2 tortillas,,,170,5,0,0,0,320,27,1,0,5
"Flour Tortilla (Kids, Quesadilla)",1 tortilla,,,80,2.5,0,0,0,160,13,<1,0,2
Crispy Corn Tortilla (Kids),2 tortillas,,,70,6,1,0,0,0,19,2,0,2
Cilantro-Lime Brown Rice (Kids),2 oz,56.699,,110,3,0.5,0,0,95,18,1,0,2
Cilantro-Lime White Rice (Kids),2 oz,56.699,,100,2,0,0,0,170,20,0,0,2
Black Beans (Kids),3 oz,85.0485,,100,1,0,0,0,160,15,6,1,6
Pinto Beans (Kids),3 oz,85.0485,,100,1,0,0,0,160,15,6,1,6
Fajita Vegetables (Kids),2 oz,56.699,,20,0,0,0,0,150,5,1,2,1
Barbacoa (Kids),2 oz,56.699,,80,3,1.5,0,30,260,1,1,0,12
Chicken (Kids),2 oz,56.699,,90,3,1.5,0,65,150,0,0,0,15
Carnitas (Kids),2 oz,56.699,,110,6,3,0,30,220,0,0,0,12
Steak (Kids),2 oz,56.699,,70,3,1.5,0,40,160,0,0,0,10
Sofritas (Kids),2 oz,56.699,,70,5,1,0,0,280,5,2,2,4
Fresh Tomato Salsa (Kids),2 oz,56.699,,15,0,0,0,0,310,1,0,<1,0
Roasted Chili-Corn Salsa (Kids),2 oz,56.699,,40,1,0,0,0,190,9,1,3,1
Tomatillo-Green Chili Salsa (Kids),2 fl oz,,59.147,15,0,0,0,0,260,4,0,2,0
Tomatillo-Red Chili Salsa (Kids),2 fl oz,,59.147,30,0,0,0,0,500,4,2,0,0
Cheese (Kids),1 oz,28.3495,,110,8,5,0,30,190,1,0,0,6
Sour Cream (Kids),1 oz,28.3495,,60,5,3.5,0,20,150,1,0,1,1
Guacamole (Kids),2 oz,56.699,,110,11,1.5,0,0,190,3,3,0,1
Queso Blanco (Kids),1 oz,28.3495,,60,4.5,3,0,15,125,2,0,<1,2
Romaine Lettuce (Kids),1 oz,28.3495,,5,0,0,0,0,0,1,1,0,0
Mandarins (Kids),1 serving,,,35,0,0,0,0,0,9,1,7,1
Blueberries (Kids),1 serving,,,20,0,0,0,0,0,5,4,3,1
Chips (Kids),1 oz,28.3495,,140,6,1,0,0,95,18,2,0,2
Organic Milk (Kids),8 oz,226.796,,120,6,2.5,1.5,0,125,12,0,12,8
Organic Chocolate Milk (Kids),8 oz,226.796,,160,3,2,0,15,220,24,1,22,9
Organic Apple Juice (Kids),6.75 oz,191.359125,,100,0,0,0,0,10,25,0,22,0
