Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Peanut Buster Parfait,304,710,30,17,0.5,40,360,98,3,73,16
Banana Split,374,530,13,9,0.5,35,180,99,4,78,9
Oreo Brownie EarthQuake Treat,304,750,27,14,0.5,65,360,152,2,88,10
Turtle Waffle Bowl Sundae Plain,290,730,28,12,0.5,65,350,112,2,80,11
Turtle Waffle Bowl Sundae Dipped,304,820,34,16,0.5,65,380,119,2,87,11
Choc. Cov. Strawberry Waffle Bowl S. Plain,304,710,32,25,0.5,40,170,97,2,76,9
Choc. Cov. Strawberry Waffle Bowl S. Dipped,318,790,38,29,0.5,40,190,104,2,82,10
Fudge Brownie Temptation Waffle Bowl S. Plain,305,860,41,17,0.5,55,410,117,6,83,13
Fudge Brownie Temptation Waffle Bowl S. Dip.,319,940,47,21,0.5,55,440,124,6,90,13
Chocolate Coated Waffle Cone with Soft Serve,247,540,21,12,0.5,40,170,80,1,61,10
Plain Waffle Cone with Soft Serve,226,420,12,6,0.5,40,140,70,0,51,9
Sundae Caramel (Small),163,300,7,4.5,0.3,40,180,53,0,43,6
Sundae Caramel (Medium),234,430,11,7,0.5,40,220,75,0,52,9
Sundae Caramel (Large),333,610,15,9,0.5,80,360,109,0,89,12
Sundae Cherry ((Small)),163,240,6,4,0.3,25,110,42,0,37,5
Sundae Cherry (Medium),234,350,10,6,0.5,35,150,58,0,49,8
Sundae Cherry (Large),333,500,13,8,0.5,50,220,85,0,75,11
Sundae Chocolate (Small),163,280,7,4,0.3,25,130,50,0,44,6
Sundae Chocolate (Medium),234,400,10,6,0.5,35,180,71,1,61,8
Sundae Chocolate (Large),333,570,13,8,0.5,50,260,103,1,90,11
Sundae Hot Fudge (Small),163,300,10,7,0.4,25,140,48,0,39,6
Sundae Hot Fudge (Medium),234,440,15,11,0.5,35,200,67,0.5,52,9
Sundae Hot Fudge (Large),333,620,20,15,0.5,50,290,98,1,79,12
