Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg),Calcium (mg),Iron (mg),Zinc (mg),Vitamin A (μg),Vitamin E (mg),Vitamin D (μg),Vitamin C (mg),Thiamin (mg),Riboflavin (mg)
2% Milk (8 fl oz),120,5,3,0,20,115,12,,12,8,0,325,0,,,,,,,
3G Energy + Green Caffeine Boost,5,0,0,,,0,3,2,0,0,119,,,,,,,,,
88 Acres Chocolate Sea Salt,200,11,2.5,0,0,115,22,3,9,6,0,52,1.8,,,,0,,,
88 Acres Mixed Berry Bar,190,9,1,0,0,110,23,3,10,5,0,52,1.8,,,,,,,
Acai-Grape Juice Blend Concentrate (8 fl oz),360,9,2,0,0,40,66,,48,4,0,78,5.4,0,,,,837,,
Acai Primo Bowl,510,11,3.5,0,0,45,100,11,63,8,0,104,4.5,0.66,72,34.5,0,585,0.18,0.13
Acai Super-Antioxidant Smoothie (Large),550,7,2,0,5,130,111,6,88,10,0,195,9,3.3,1800,67.5,20,1035,1.08,1.17
Acai Super-Antioxidant Smoothie (Medium),430,6,1.5,0,0,100,88,5,69,7,0,130,8.1,3.3,1800,57,20,855,1.08,1.17
Acai Super-Antioxidant Smoothie (Small),330,4,1,0,0,80,67,3,53,6,0,130,7.2,2.75,1800,45,20,666,1.08,1.17
Almondmilk (8 fl oz),25,2,0,0,0,130,1,,0,0,0,455,0,,,,,0,,
Aloha Pineapple Smoothie (Large),470,2.5,1,0,5,45,106,106,92,8,0,195,1.08,0.22,18,0.3,0,117,0.024,0.052
Aloha Pineapple Smoothie (Medium),360,2,1,0,5,40,81,3,69,7,0,130,0.72,0.22,0,0.3,0,81,0.024,0.052
Aloha Pineapple Smoothie (Small),270,1,0.5,0,5,35,59,2,51,6,0,130,0.36,0.22,0,0.3,0,54,0.024,0.026
Apple 'n Greens Smoothie (Medium),320,1,0,0,0,55,76,6,58,6,0,195,1.8,0.44,1980,1.5,0,189,0.12,0.13
Apple 'n Greens Smoothie (Small),250,1,0,0,0,50,58,5,44,5,0,195,1.8,0.44,1890,1.5,0,180,0.096,0.13
Apple 'n Greens Smoothie (Large),400,1.5,0,0,0,70,96,8,74,7,0,260,2.7,0.66,2610,2.25,0,252,0.18,0.195
Apple Cinnamon Pretzel,390,4.5,0,0,0,290,78,3,15,9,0,26,2.7,,,,,,,
"Banana, Fresh (Topping)",60,0,0,0,0,0,15,2,8,1,0,0,0,0,0,0,0,9,0.024,0.026
Blackberry Pear Juice Blend (8 fl oz),90,0,0,0,0,10,21,,20,1,0,26,0,0,,,,0,0,0
Blue Spirulina Boost,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,
Blueberry Strawberry Blast-Off Smoothie (10 oz),170,0,0,0,0,15,41,3,33,1,0,26,0.36,0.22,18,0.3,0,40.5,0.024,0.052
Blueberry Strawberry Blast-Off Smoothie (12 oz),180,0.5,0,0,0,15,44,4,34,1,0,26,0.72,0.22,18,0.3,0,72,0.048,0.052
"Blueberry, Fresh (Topping)",10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1.8,0,0
Caribbean Passion Smoothie (Large),420,2,1,0,5,55,101,4,88,3,0,130,2.7,0.22,135,0.6,0,153,0.024,0.026
Caribbean Passion Smoothie (Medium),330,2,1,0,5,45,80,3,70,2,0,104,1.8,0.22,90,0.6,0,117,0.024,0.026
Caribbean Passion Smoothie (Small),250,1,0.5,0,5,35,60,2,53,2,0,78,1.44,0.22,90,0.3,0,81,0.024,0.026
Cheddar Tomato Twist,250,6,2,0,10,430,41,1,3,9,0,78,1.8,,,,0,,,
Chocolate Covered Strawberry Smoothie (Large),710,8,4.5,0,25,310,146,5,134,21,0,780,2.7,0,,,,72,0,0
Chocolate Covered Strawberry Smoothie (Medium),570,6,3.5,0,20,240,116,4,107,17,0,780,1.8,0,90,0.3,0,81,0.024,0.026
Chocolate Covered Strawberry Smoothie (Small),400,4.5,2.5,0,15,180,83,3,76,12,0,520,1.44,0,72,0,0,54,0,0
Chunky Strawberry Bowl,580,18,2.5,0,0,125,90,12,44,20,0,195,3.6,1.1,18,1.2,0,126,0.24,0.13
Cinnamon Boost,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Citrus Kale Juice (Large),370,2.5,0,0,0,50,85,7,59,10,0,325,2.7,0.66,2340,1.5,0,666,0.54,0.26
Citrus Kale Juice (Medium),280,2,0,0,0,40,64,5,44,7,0,260,2.7,0.66,1800,1.2,0,495,0.42,0.195
Citrus Kale Juice (Small),240,1.5,0,0,0,25,55,4,38,6,0,195,1.8,0.44,1170,0.9,0,396,0.36,0.195
Classic Sausage (Egg + Cheese Handwich),320,23,8,0,120,590,14,1,2,12,0,195,1.08,,18,,,1.8,,
Coconut Flakes (Topping),25,2,2,0,0,0,1,1,0,0,0,0,0,,,,,,,
"Cocowhip, Topping (Green Scoop)",80,6,6,0,0,0,11,0,6,0,0,0,0,,,15,,,,
Cold Brew Coffee (8 fl oz),15,0,0,0,0,0,3,,0,0,169,0,0,0,,,,0,0,0
Cold Brew Over Ice + Agave (Large),50,0,0,0,0,15,11,0,5,0,381,26,0,0,0,0,0,0,0,0
Cold Brew Over Ice + Agave (Medium),45,0,0,0,0,10,10,0,5,0,296,0,0,0,0,0,0,0,0,0
Cold Brew Over Ice + Agave (Small),45,0,0,0,0,10,9,0,5,0,254,0,0,0,0,0,0,0,0,0
Cold Brew Over Ice with Sweet Cloud Whip Foam (Large),110,3.5,3,0,0,25,19,0,8,0,339,78,0,0,72,7.5,0.8,0,0,0.026
Cold Brew Over Ice with Sweet Cloud Whip Foam (Medium),100,3.5,3,0,0,20,17,0,8,0,254,78,0,0,72,7.5,0.8,0,0,0.026
Cold Brew Over Ice with Sweet Cloud Whip Foam (Small),100,3.5,3,0,0,20,16,0,8,0,212,78,0,0,72,7.5,0.8,0,0,0.026
Cold Brew Over Ice (Large),25,0,0,0,0,15,5,0,0,0,338,26,0,0,0,0,0,0,0,0
Cold Brew Over Ice (Medium),20,0,0,0,0,10,4,0,0,0,253,0,0,0,0,0,0,0,0,0
Cold Brew Over Ice (Small),15,0,0,0,0,10,3,0,0,0,169,0,0,0,0,0,0,0,0,0
Cucumber Orange Cooler Juice (Medium),260,1,0,0,0,15,63,3,47,4,0,130,1.8,0.44,180,0.3,0,306,0.36,0.13
Cucumber Orange Cooler Juice (Small),190,1,0,0,0,10,46,2,36,3,0,78,1.08,0.22,135,0,0,207,0.24,0.104
Cucumber Orange Cooler (Large),330,1.5,0,0,0,20,79,3,60,5,0,130,1.8,0.66,225,0.3,0,360,0.42,0.195
Daily Vitamin + Zinc Boost,10,0,0,,,0,2,0,0,0,0,26,3.6,2.75,1710,12,20,135,1.08,1.04
Dragon Fruit Delight Bowl,440,7,2.5,0,0,15,92,12,58,6,0,78,1.8,0.66,225,0.6,0,117,0.18,0.104
