Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Pepperoni,2470,112,48,3.5,270,5570,251,13,14,117
Cheese,2270,87,44,3,225,4490,253,13,12,121
Sausage,2650,128,53,2.5,290,5860,252,13,12,126
Beef,2550,117,52,5,280,5620,250,13,12,126
Stuffed Crust Pepperoni,3030,158,72,4.5,395,7170,259,13,15,146
5 Meat Feast (Ham),2730,133,56,3.5,315,6600,252,13,15,133
5 Meat Feast (Canadian Bacon),2740,134,56,3.5,320,6740,252,13,15,134
Ultimate Supreme,2410,104,44,2.5,240,5450,258,15,17,114
3 Meat Treat,2760,139,58,3,310,6300,252,13,14,130
Hula Hawaiian (Ham),2160,69,32,2,200,4960,272,14,30,114
Hula Hawaiian (Canadian Bacon),2200,72,33,2,215,5330,273,13,31,116
Veggie,2250,84,39,2,155,5310,266,20,19,101
Pepperoni,2210,90,39,2.5,210,4660,249,13,13,105
Cheese,1950,65,31,2,150,3680,248,12,12,95
Sausage,2160,85,37,2,190,4350,249,12,12,104
Beef,2150,83,38,3,195,4350,248,13,12,106
Pepperoni,2770,111,47,3,240,5220,319,16,16,129
Cheese,2500,85,38,2.5,175,4170,317,16,14,118
Sausage,2810,114,48,2.5,235,5170,319,16,14,131
Beef,2750,107,47,3.5,230,5010,318,16,14,130
Ultimate Supreme,3050,130,54,3,280,6280,332,20,21,140
3 Meat Treat,3470,174,70,3,355,7270,321,16,16,157
Hula Hawaiian (Ham),2730,90,39,2.5,235,5720,343,17,33,140
Hula Hawaiian (Canadian Bacon),2780,93,40,2.5,255,6160,343,17,34,143
Veggie,2730,99,43,2.5,180,5630,333,22,21,123
Crazy Combo,840,22,4.5,0,5,1820,135,6,7,26
Crazy Bread (8 bread sticks),800,22,4.5,0,5,1290,128,5,6,25
Crazy Sauce (1 sauce cup),30,0,0,0,0,530,7,2,0,1
Italian Cheese Bread (10 bread sticks),1340,54,21,1.5,90,2200,155,7,7,59
Pepperoni Cheese Bread (10 bread sticks),1520,71,27,2,130,2840,155,7,7,66
Zesty Cheese Bread (10 bread sticks),1490,71,24,1.5,90,2490,158,7,9,55
Oven Roasted,510,35,9,0,285,1740,3,0,0,47
Buffalo,510,35,9,0,285,3600,3,0,0,47
BBQ,620,35,9,0,285,2300,32,0,24,48
Garlic Parmesan,670,51,13,0,290,2510,5,0,0,49
Cheezy Jalapeño,210,21,3.5,0,15,460,3,0,2,1
Ranch,230,23,3.5,0,20,480,4,0,3,2
Buffalo Ranch,230,23,3.5,0,20,580,4,0,3,1
Butter Garlic Flavor,370,42,8,0,0,330,0,0,0,0
Pepperoni,2180,133,52,3.5,270,4460,149,9,5,96
Cheese,1980,109,48,3,225,3390,150,10,3,99
Add Stuffed Crust to any round pizza,560,46,23,1.5,130,1610,8,0,0,29
Add Stuffed Crust to any DEEP!DEEP! Dish,530,40,24,1.5,145,1710,9,0,0,33
Zap Pack,0,0,0,0,0,240,1,0,0,1
Parmesan Cheese Packet,15,1,0.5,0,3,55,0,0,1,0
Base Pizza,1950,65,31,2,150,3680,248,12,12,95
Pepperoni,260,24,9,0.5,60,980,1,0,1,10
Bacon,380,35,13,0,55,1060,0,0,0,16
Beef,330,28,12,1.5,70,1080,1,0,0,16
Sausage,420,38,13,0,80,1330,2,0,0,17
Ham,120,4,1.5,0,50,1280,3,0,3,19
Canadian Bacon,160,6,2,0,65,1650,3,0,3,21
Green Peppers,20,0,0,0,0,0,4,2,2,1
Onions,35,0,0,0,0,0,8,2,4,1
Mushrooms,40,0,0,0,0,560,7,3,3,2
Black Olives,280,24,9,0,0,1080,4,4,0,1
Jalapeño Peppers,80,6,0,0,0,2000,4,4,0,0
Mild Banana Peppers,50,0,0,0,0,2840,7,0,5,0
Pineapple,90,0,0,0,0,0,22,0,16,0
Extra Cheese,270,19,12,1,65,690,4,0,0,21
Base Pizza,2500,85,38,2.5,175,4170,317,16,114,118
Pepperoni,280,26,9,0.5,65,1050,2,0,2,11
Bacon,380,35,13,0,55,1060,0,0,0,16
Beef,250,22,9,1.5,55,830,1,0,0,12
Sausage,320,29,10,0,60,1000,2,0,0,13
Ham,90,3,1,0,40,1000,2,0,2,14
Canadian Bacon,120,5,1.5,0,50,1280,2,0,2,16
Green Peppers,15,0,0,0,0,0,3,1,2,1
Onions,25,0,0,0,0,0,6,1,3,1
Black Olives,210,17,7,0,0,810,3,3,0,1
Jalapeño Peppers,60,4.5,0,0,0,1460,3,3,0,0
Mild Banana Peppers,35,0,0,0,0,2120,5,0,4,0
Pineapple,90,0,0,0,0,0,22,0,16,0
Extra Cheese,270,19,12,1,65,690,4,0,0,21
