Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
6” All-American Club Sandwich,211,350,13,6,0,55,1220,39,1,5,25
"6"" Black Forest Ham Sandwich",219,270,4,1,0,30,810,41,4,6,18
"6"" Buffalo Chicken (with Grilled Chicken) Sandwich",248,340,12,3,0,55,1360,39,2,4,24
"6"" Chicken & Bacon Ranch (with Grilled Chicken) Sandwich",256,510,27,10,0,100,1020,39,2,5,36
"6"" Chicken & Bacon Ranch (with Rotisserie-Style Chicken) Sandwich",256,530,29,11,0,105,1200,39,2,5,34
"6"" Cold Cut Combo Sandwich",213,280,10,3,0,45,980,38,2,4,17
"6"" Italian BMT Sandwich",213,360,16,6,0,50,1160,39,2,4,19
"6"" Meatball Marinara Sandwich",205,400,17,7,1,40,1080,46,3,6,20
"6"" Oven Roasted Turkey Sandwich",218,260,3,1,0,25,790,39,4,6,19
"6"" Roast beef Sandwich",233,300,5,2,0,40,740,41,4,7,22
"6"" Rotisserie-Style Chicken Sandwich",233,300,6,2,0,50,710,39,4,5,23
"6"" Spicy Italian Sandwich",208,430,24,9,0,60,1280,39,2,4,19
"6"" Steak & Cheese (with American cheese) Sandwich",161,320,10,5,0,65,1020,37,1,3,25
"6"" Subway Club Sandwich",255,310,5,2,0,45,1010,42,4,7,26
"6"" Sweet Onion Chicken Teriyaki Sandwich",265,330,4,1,0,50,800,52,4,14,24
"6"" Tuna Sandwich",223,430,25,5,0,40,670,37,1,4,19
"6"" Veggie Delite Sandwich",162,200,2,0,0,0,320,39,4,5,8
"6"" Baja Steak & Jack Sandwich",178,390,18,6,0,75,1170,38,1,4,26
"6"" Baja Chicken & Bacon (with Rotisserie-Style Chicken) Sandwich",256,510,27,11,0,100,1530,39,2,5,32
"6"" ""CALI FRESH"" Steak (with Smashed Avocado) Sandwich",273,610,34,9,0,90,1190,44,6,7,33
"6"" ""CALI FRESH"" Turkey (with Smashed Avocado) Sandwich",258,550,30,8,0,60,1210,42,6,6,28
"6"" ""CALI FRESH"" Steak (with Sliced Avocado) Sandwich",266,580,32,9,0,90,1070,43,6,6,33
"6"" ""CALI FRESH"" Turkey (with Sliced Avocado) Sandwich",251,520,28,7,0,60,1080,42,6,6,28
"6"" Big Hot Pastrami Sandwich",213,470,26,9,0,80,1780,38,1,4,27
"6"" B.L.T Sandwich",151,330,14,5,0,35,700,37,1,4,17
"6"" Chicken Pizziola (with Grilled Chicken) Sandwich",231,400,15,6,0,80,1100,40,2,6,31
"6"" Grilled Chicken Sandwich",233,280,4,1,0,50,530,40,4,6,24
"6"" Oven Roasted Chicken Sandwich",233,280,5,1,0,45,620,41,4,6,21
"6"" Oven Roasted Turkey and Ham Sandwich",219,270,4,1,0,25,800,40,4,6,19
"6"" Pizza Sub Sandwich",165,420,23,10,1,60,1480,41,0,5,18
"6"" Steak Club Sandwich",225,470,26,8,0,75,1270,38,1,4,28
"6"" Turkey Italiano Sandwich",192,460,27,9,0,60,1530,38,1,4,22
"6"" Veggie Patty Sandwich",247,380,11,1,0,0,640,56,12,7,14
Veggie Delite Kids’ Mini Sub,108,140,2,0,0,0,210,26,3,3,5
Black Forest Ham Kids’ Mini Sub,137,170,3,1,0,15,460,27,3,4,10
 Oven Roasted Turkey Kids’ Mini Sub,137,160,2,0,0,10,450,26,3,4,11
Roast Beef Kids’ Mini Sub,146,190,3,1,0,20,440,27,3,4,13
All-American Club on Spinach Wrap,348,630,27,11,0,95,2320,57,3,6,42
Black Forest Ham on Tomato Basil Wrap,307,440,12,5,0,55,1720,57,4,6,29
Buffalo Chicken Wrap (with Grilled Chicken) on Tomato Basil Wrap,356,550,20,6,0,110,1950,55,4,6,42
Chicken & Bacon Ranch (with Grilled Chicken) on Spinach Wrap,400,810,41,16,0,170,1830,56,4,6,59
Chicken & Bacon Ranch (with Rotiserrie-Style Chicken) on Spinach Wrap,378,840,45,17,0,170,2200,55,4,5,55
Cold Cut Combo on Tomato Basil Wrap,314,530,24,7,0,95,1970,54,3,5,27
Italian BMT on Tomato Basil Wrap,314,680,37,14,0,100,2330,57,4,5,32
Meatball Marinara on Tomato Basil Wrap,381,770,39,16,2,75,2160,74,8,12,34
Oven Roasted Turkey on Spinach Wrap,307,430,10,4,0,50,1740,53,3,4,32
Roast Beef on Tomato Basil Wrap,335,500,14,5,0,75,1580,57,4,8,38
Rotisserie-Style Chicken on Spinach Wrap,335,500,16,6,0,105,1580,53,4,4,39
Spicy Italian on Tomato Basil Wrap,304,810,52,20,1,125,2580,57,4,4,31
Steak & Cheese on Spinach Wrap,269,570,20,9,0,120,1900,54,3,4,44
Subway Club on Tomato Basil Wrap,378,530,14,5,0,90,2130,58,4,7,45
Sweet Onion Chicken Teriyaki on Spinach Wrap,381,540,12,5,0,95,1610,71,4,15,42
Tuna on Spinach Wrap,335,820,54,11,1,75,1410,52,3,3,33
Veggie Delite on Tomato Basil Wrap,285,330,8,4,0,0,750,56,5,6,10
Baja Steak & Jack on Tomato Basil Wrap,286,640,28,11,1,130,2000,55,3,5,44
Baja Chicken & Bacon (with Rotisserie-Style Chicken),379,820,44,17,1,170,2470,56,4,6,54
