Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Classic Cheeseburger With Fries for Burger (Family Feast),,,,1240,78,21,2,90,3590,97,7,18,38
Classic Crispy Chicken Sandwich With Fries for Burger (Family Feast),,,,1200,68,14,0.5,60,3520,113,8,17,36
Add Bacon to Burger or Sandwich (Family Feast),,,,400,33,12,0,45,1270,2,0,2,24
Breakfast With French Toast (Family Feast),,,,5340,337,112,2,2505,7020,424,20,130,155
Breakfast With Pancakes (Family Feast),,,,4690,296,93,1.5,2060,8650,365,18,105,144
Breakfast With Waffles (Family Feast),,,,5140,332,125,3,2230,6750,400,16,121,140
"Family Dinner Feast With French Fries, Mac N Cheese & Salad (Family Feast)",,,,4860,255,66,3,470,13690,444,35,80,197
Pancake Creations (Family Feast),,,,3510,184,57,1,1890,6070,364,17,105,100
Add Cheese to Eggs (Family Feast),,,,900,73,42,1.5,220,1430,7,0,1,53
"Bacon Slices (Family Feast, Meat Choice)",,,,400,33,12,0,45,1270,2,0,2,24
"Pork Sausage Links (Family Feast, Meat Choice)",,,,850,85,30,0,135,1320,3,1,1,20
"Blueberry Compote (Family Feast, Topping Choice)",,,,160,0,0,0,0,0,42,2,34,1
"Cheesecake Bites (Family Feast, Topping Choice)",,,,390,23,12,0.5,95,280,41,1,28,6
"Chocolate Chips (Family Feast, Topping Choice)",,,,530,30,19,0,5,0,76,8,62,5
"Chocolate Sauce (Family Feast, Topping Choice)",,,,460,1,0,0,0,170,111,3,105,2
"Strawberries in Glaze (Family Feast, Topping Choice)",,,,140,0,0,0,0,30,36,3,30,1
"Vanilla Sauce (Family Feast, Topping Choice)",,,,320,24,16,0.5,65,150,26,0,20,2
1% Milk,,,473,180,4,2.5,0,20,190,21,0,21,14
Apple Juice,,,473,180,0,0,0,0,25,44,0,40,0
Chocolate Milk,,,473,330,4,2.5,0,20,230,59,1,57,14
Coffee,,,473,0,0,0,0,0,10,0,0,0,0
Decaf Coffee,,,473,0,0,0,0,0,10,0,0,0,0
Orange Juice,,,473,190,0,0,0,0,20,48,1,47,2
Lemonade,,,887,250,0,0,0,0,115,64,0,62,0
Sweeter Tea,,,887,370,0,0,0,0,20,96,0,93,0
Unsweetened Iced Tea,,,887,10,0,0,0,0,15,2,0,0,0
Crispy Chicken Strips (No Sauce),3 strips,,,340,16,3,0,55,890,25,2,0,25
Crispy Chicken Strips With BBQ Sauce,3 strips,,,440,16,3,0,60,1600,47,3,15,26
Crispy Chicken Strips With Nashville Hot Sauce,3 strips,,,670,51,8,0,55,1340,29,4,1,26
