Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Asiago Cheese Bagel,1 bagel,,,320,6.0,3.5,0.0,15,560,56,2.0,5,14
Blueberry Bagel,1 bagel,,,300,1.0,0.0,0.0,0,430,66,3.0,11,10
Chocolate Chip Bagel,1 bagel,,,330,6.0,3.0,0.0,5,400,64,2.0,14,10
Cinnamon Crunch Bagel,1 bagel,,,420,7.0,5.0,0.0,0,400,84,2.0,34,9
Cinnamon Swirl & Raisin Bagel,1 bagel,,,310,1.5,1.0,0.0,0,430,68,3.0,13,10
Everything Bagel,1 bagel,,,300,1.5,0.0,0.0,0,610,63,3.0,5,11
Jalapeno Cheddar Bagel,1 bagel,,,300,3.0,1.5,0.0,5,750,56,2.0,4,13
Plain Bagel,1 bagel,,,280,1.0,0.0,0.0,0,460,62,2.0,5,10
Poppyseed Bagel,1 bagel,,,300,2.0,0.0,0.0,0,460,63,3.0,5,11
Salt Bagel,1 bagel,,,280,1.0,0.0,0.0,0,2020,62,2.0,5,10
Sesame Bagel,1 bagel,,,300,2.5,0.5,0.0,0,460,63,3.0,5,11
Sprouted Grain Bagel Flat,1 bagel flat,,,180,2.0,0.0,0.0,0,410,34,3.0,4,7
Artisan Ciabatta,3.5 inch slice,57.0,,150,1.5,0.0,0.0,0,280,30,1.0,0,6
Black Pepper Focaccia,4.75 inch slice,57.0,,140,2.0,0.0,0.0,0,370,26,1.0,0,5
Brioche Roll,1 roll,,,220,7.0,4.0,0.0,60,270,31,2.0,5,8
Classic Sourdough,1 0.25 inch slice,57.0,,150,0.0,0.0,0.0,0,320,31,1.0,0,6
Classic White Miche,0.66 inch slice,57.0,,160,4.0,2.0,0.0,10,260,27,1.0,4,6
Country Rustic Sourdough,0.66 inch slice,57.0,,130,0.0,0.0,0.0,0,260,28,1.0,0,5
Asiago Cheese Focaccia,4 inch slice,57.0,,150,3.0,1.0,0.0,5,320,24,1.0,0,6
French Baguette,2.75 inch slice,57.0,,150,0.0,0.0,0.0,0,370,30,1.0,1,5
New England Roll,1 roll,,,250,4.5,1.5,0.0,10,440,44,1.0,5,9
Sourdough Bread Bowl,1 bread bowl,,,670,4.5,0.0,0.0,0,1160,130,4.0,2,27
Tomato Basil Miche,0.5 inch slice,57.0,,130,0.0,0.0,0.0,0,330,27,1.0,1,5
White Whole Grain,0.875 inch slice,57.0,,130,0.5,0.0,0.0,0,290,25,2.0,3,6
Whole Grain Lahvash,1 lahvash,,,150,2.5,0.0,0.0,0,250,27,2.0,2,9
"Avocado, Egg White, Spinach & Cheese on Sprouted Grain Bagel Flat",1 sandwich,,,350,14.0,5.0,0.0,20,680,39,5.0,5,19
"Bacon, Egg & Cheese on Brioche",1 sandwich,,,450,25.0,12.0,0.0,280,790,32,2.0,6,23
"Bacon, Egg & Cheese on Artisan Ciabatta",1 sandwich,,,420,19.0,8.0,0.0,220,880,40,2.0,2,22
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",1 sandwich,,,440,21.0,9.0,0.0,300,900,40,2.0,2,24
"Bacon, Scrambled Egg & Cheese on Brioche",1 sandwich,,,470,26.0,13.0,0.0,360,810,33,2.0,6,24
Breakfast Portion (Artisan Ciabatta),0.25 loaf,,,200,2.0,0.0,0.0,0,360,38,2.0,1,7
Chipotle Aioli Sauce For Breakfast Sandwiches,1 serving,,,45,4.5,1.0,0.0,5,55,0,0.0,0,0
"Chipotle Chicken, Egg & Avocado on Artisan Ciabatta",1 sandwich,,,530,29.0,11.0,0.0,235,890,43,4.0,2,26
"Chipotle Chicken, Scrambled Egg & Avocado on
Artisan Ciabatta",1 sandwich,,,550,31.0,12.0,0.0,315,910,44,4.0,2,27
Egg & Cheese on Brioche,1 sandwich,,,380,19.0,10.0,0.0,265,510,32,2.0,6,19
Egg & Cheese on Artisan Ciabatta,1 sandwich,,,360,14.0,6.0,0.0,205,590,40,2.0,1,19
Egg Whites,1 portion,,,30,0.0,0.0,0.0,0,100,1,0.0,0,6
Garlic Aioli Sauce For Breakfast Sandwiches,1 serving,,,50,5.0,1.0,0.0,5,30,0,0.0,0,0
Over Easy Egg,1 egg,,,70,5.0,1.5,0.0,185,70,0,0.0,0,6
"Sausage, Egg & Cheese on Asiago Bagel",1 sandwich,,,800,50.0,19.0,0.0,265,1280,58,2.0,5,31
"Sausage, Egg & Cheese on Brioche",1 sandwich,,,590,39.0,18.0,0.0,300,770,32,2.0,6,26
"Sausage, Egg & Cheese on Artisan Ciabatta",1 sandwich,,,570,34.0,14.0,0.0,240,860,40,2.0,1,26
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",1 sandwich,,,590,35.0,15.0,0.0,320,880,40,2.0,1,27
